model_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,pca,18,True,8.597471053026942,10.809646685208325,11.029901266400792,0.08138882846197054,0.7461179034692148,0.09547308781842397,0.6955485817526448,./logs/0321091147/best_model_12_3.h5
cnn,0.0,10,,9.162408253235176,10.760828657102282,11.39012500950036,0.07746169731957132,0.6764355570152674,0.09626254604065036,0.7285292180871747,./logs\0320181153\best_model_0_0.h5
cnn,pca,14,False,7.985096820143008,10.893504160482562,11.178771217024762,0.1083045879975002,0.8713499724856619,0.09637298504447532,0.6492116094128435,./logs/0321091239/best_model_9_1.h5
dense_cnn,pca,6,True,10.586906163696987,10.925557856802929,11.456967746487514,0.10884222566410623,0.8775307916395411,0.09657453196319546,0.7180984560864385,./logs/0321091401/best_model_3_0.h5
cnn,tca,22,True,10.629306001345267,12.498071353308365,11.47587359453369,0.09722128498358182,0.7572527312310589,0.0966237881185512,0.7664200497778766,./logs/0321091147/best_model_17_0.h5
dense_cnn,fa,22,True,9.951769305360974,10.437983961629504,11.870961211883984,0.1574541293103976,2.0989814359518117,0.09683763514124641,0.6850055981132013,./logs/0321091401/best_model_16_0.h5
cnn,fa,2,False,10.824336340293396,12.029085514328994,11.258673049917695,0.10898766071949123,0.6773018786843895,0.09697436377326456,0.69396373062352,./logs/0321091239/best_model_1_2.h5
dense_cnn,tca,22,True,10.455434173985948,11.13391723790528,11.259053020336745,0.10676735794665587,0.8050694893685691,0.0970313298613216,0.7535073614028206,./logs/0321091401/best_model_17_0.h5
cnn,pca,26,False,6.490093304903545,10.704214235434877,11.786374009636535,0.0533958160292288,0.5879478559018461,0.09710672040887312,0.6825001758671988,./logs/0321091239/best_model_18_0.h5
cnn,tca,14,True,12.319002299504865,14.09719593124558,11.11184073016402,0.28990093197108724,3.4474980848199803,0.09713838661613264,0.74719850631687,./logs/0321091147/best_model_11_0.h5
dense_cnn,fa,2,True,11.925512245488001,12.90209894390215,11.61909764186309,0.25380091492814083,2.7186009657982875,0.0978803452169841,0.8212698686763086,./logs/0321091401/best_model_1_1.h5
cnn,tca,10,True,11.608462179327116,12.829536491196064,11.490596137431748,0.13406862508625225,0.8805308303790039,0.09858590939563004,0.7576475678855109,./logs/0321091147/best_model_8_2.h5
dense_cnn,fa,26,True,10.206680151946195,10.948417551153447,11.799442243281584,0.1181559198151232,1.6163935513788241,0.09858758989910538,0.6872726668290415,./logs/0321091401/best_model_19_1.h5
dense_cnn,pca,14,True,9.933671832936156,10.10464314016938,11.615700670769863,0.09375783317296071,0.7404899067729019,0.09869815637329885,0.679593030013277,./logs/0321091401/best_model_9_1.h5
cnn,tca,2,True,13.680238210363235,14.705790503381234,12.306482997749345,0.1688392772660573,0.9709200073442514,0.09929692910793438,0.6971363516216247,./logs/0321091147/best_model_2_2.h5
cnn,pca,22,False,7.466867293757869,10.311259011194947,11.247986312556264,0.06591188545251192,0.6731098148967108,0.0996919802772536,0.7266719566147711,./logs/0321091239/best_model_15_0.h5
dense_cnn,pca,2,True,11.87541199725684,12.688288785777672,11.381267082921141,0.13510384182064236,0.8087223227675776,0.10054832989336746,0.6904630746823144,./logs/0321091401/best_model_0_2.h5
dense_cnn,pca,26,True,10.259225859440917,10.879898815877437,11.51331530554309,0.17449301120333072,2.372171411587987,0.10101700303233875,0.6831726345052352,./logs/0321091401/best_model_18_1.h5
cnn,pca,10,False,6.78774974440568,11.015435413634329,11.647908673970495,0.06028070722174605,0.7567829307359965,0.10103573220178208,0.6992511608708161,./logs/0321091239/best_model_6_0.h5
cnn,pca,18,False,7.077119437105149,10.456119935695902,11.607191000591948,0.05943185805877444,0.6167869893763392,0.10140204896549147,0.6863890035652268,./logs/0321091239/best_model_12_0.h5
cnn,fa,10,False,9.557598896977227,10.765522082231348,12.005097655679002,0.09478750887872486,0.6633640727583766,0.10169642728004966,0.6831199580556045,./logs/0321091239/best_model_7_0.h5
cnn,pca,22,True,8.27102337704726,10.624304199385783,11.44557450681111,0.0746909535866758,0.7210668416192022,0.10178327339400706,0.7575603440844544,./logs/0321091147/best_model_15_2.h5
cnn,tca,22,False,7.336746891576785,10.980475562426818,11.735545356560776,0.061159591101949524,0.5825534274891725,0.10200686732913336,0.7153740092418944,./logs/0321091239/best_model_17_2.h5
cnn,fa,6,True,9.684306851239748,11.886155926737535,11.67221278168598,0.08409854770496625,0.6992049428843494,0.1023568591648429,0.7688108876104857,./logs/0321091147/best_model_4_0.h5
dense_cnn,pca,10,True,9.804871799359049,10.081817491152352,11.830803796981641,0.10566616991823868,1.3345241841076487,0.10292357800377043,0.6994799256843552,./logs/0321091401/best_model_6_0.h5
cnn,tca,18,True,9.610588768980287,11.47305779367757,11.618492492037143,0.17998625344090707,2.5136840923918093,0.1033347578755496,0.7424035022308869,./logs/0321091147/best_model_14_0.h5
dense_cnn,tca,18,True,11.610359619984877,12.2935083277845,11.245535994138733,0.2771037593474105,3.243744113297362,0.10361194550714481,0.754445715249107,./logs/0321091401/best_model_14_2.h5
dense_cnn,tca,10,True,10.101297090927902,11.126015466875664,10.784422843234559,0.10400545855682562,0.9215852706659223,0.10380569377686005,0.6968477569777682,./logs/0321091401/best_model_8_0.h5
cnn,fa,22,True,8.414065523596637,10.493703880204352,11.901347135762956,0.06999745859156775,0.7111471765974772,0.10406438674443592,0.720036908334527,./logs/0321091147/best_model_16_0.h5
dense_cnn,0.0,10,,9.669869479002061,10.390977381003939,11.71890557429024,0.08510042684829841,0.6664132469021427,0.10489900354296634,0.7691573878196191,./logs\0320182051\best_model_0_0.h5
cnn,0.0,10,,9.147657010681193,10.73003219295525,11.552313824571526,0.08235959650741756,0.6877174151634283,0.1049562465421218,0.7162246345627451,./logs\0320182425\best_model_0_0.h5
dense_cnn,tca,6,True,12.087309723889357,12.824598644594028,11.367861506296212,0.12982028531488748,0.8355609971841322,0.10575812345845334,0.7022430932975877,./logs/0321091401/best_model_5_0.h5
cnn,tca,30,False,9.542901311364574,11.565928440872069,12.075012217025552,0.08770536275172862,0.6792436136936593,0.10594432909045416,0.7137322583177894,./logs/0321091239/best_model_23_2.h5
cnn,pca,30,False,8.745268000419127,10.56091839848315,11.533989688043878,0.08477963335244021,0.6678610806084294,0.10626700408151384,0.6798025502512093,./logs/0321091239/best_model_21_2.h5
dense_cnn,pca,30,True,8.197745028803505,9.830026968264425,11.845721030416307,0.06890895662048921,0.7109327771618283,0.10709217314232858,0.6989779572349043,./logs/0321091401/best_model_21_0.h5
cnn,fa,30,True,7.513303385296061,10.084839389045905,12.66016919031704,0.06423911199980023,0.7054321606836378,0.10830200458350822,0.7437067069249927,./logs/0321091147/best_model_22_2.h5
cnn,fa,10,True,8.894181817674502,10.961936478917117,11.390450492493928,0.08105527092963119,0.7593097708546807,0.10881403001351808,1.062242468990891,./logs/0321091147/best_model_7_0.h5
cnn,fa,26,True,7.490403553265909,10.324800803295883,12.181566149891994,0.06211680672574441,0.6951875740851701,0.109095900264362,0.7802052400187869,./logs/0321091147/best_model_19_2.h5
dense_cnn,tca,14,True,12.454081121957561,13.554826337798865,11.705142642502807,0.33917159124093976,3.3727785352825945,0.1097018134208963,0.7583655246112401,./logs/0321091401/best_model_11_0.h5
cnn,tca,30,True,11.196338211330538,11.92537892489079,11.685551482308213,0.1938533155996361,2.5327797244785395,0.1123421107190546,0.7755717295768059,./logs/0321091147/best_model_23_0.h5
dense_cnn,fa,18,True,10.679569828421393,11.301253250257014,12.173523983359118,0.10641629465904603,0.9084529976365027,0.11358598083466832,0.7360551898393877,./logs/0321091401/best_model_13_1.h5
cnn,tca,26,True,9.334799289225998,11.289268914860893,11.862124978812284,0.08740459590863571,0.785502575027415,0.11365397604601014,1.3331658106083721,./logs/0321091147/best_model_20_0.h5
cnn,tca,2,False,15.59745841773927,16.359071340043553,12.385297997779178,0.17327077436601035,0.984006269225552,0.11454250443027834,0.7154940935042259,./logs/0321091239/best_model_2_0.h5
cnn,tca,18,False,9.806938633133356,11.646975236116244,11.924503515318232,0.0962177704767381,0.8282146712535132,0.11516037407299308,0.8188014381920866,./logs/0321091239/best_model_14_2.h5
